EntityName,EntityID,Time,LocationName,LocationID
Operator 2,5,555,M3-01_(FR3_01)_Location,1
Manual worker 1,7,555,CentralBuffer_Location,0
Operator 1,4,556,M4-01_(FR4_01)_Location,3
Manual worker 2,8,556,M4-02_(FR4_02)_Location,4
Operator 2,5,556,CentralBuffer_Location,0
Manual worker 1,7,556,CentralBuffer_Location,0
Operator 1,4,557,CentralBuffer_Location,0
Manual worker 2,8,557,CentralBuffer_Location,0
Operator 2,5,557,CentralBuffer_Location,0
Manual worker 1,7,557,UMC750SS_(M5-04)_Location,9
Operator 1,4,558,CentralBuffer_Location,0
Manual worker 2,8,558,CentralBuffer_Location,0
Operator 2,5,558,M3-01_(FR3_01)_Location,1
Manual worker 1,7,559,UMC750SS_(M5-04)_Location,9
Operator 1,4,559,M3-01_(FR3_01)_Location,1
Manual worker 2,8,559,M4-01_(FR4_01)_Location,3
Operator 2,5,560,M3-01_(FR3_01)_Location,1
Manual worker 1,7,560,CentralBuffer_Location,0
Operator 1,4,561,M3-01_(FR3_01)_Location,1
Manual worker 2,8,561,M4-01_(FR4_01)_Location,3
Operator 2,5,561,CentralBuffer_Location,0
Manual worker 1,7,561,CentralBuffer_Location,0
Operator 1,4,562,CentralBuffer_Location,0
Manual worker 2,8,562,CentralBuffer_Location,0
Operator 2,5,562,CentralBuffer_Location,0
Manual worker 1,7,562,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Operator 1,4,563,CentralBuffer_Location,0
Manual worker 2,8,563,CentralBuffer_Location,0
Operator 2,5,563,M4-01_(FR4_01)_Location,3
Manual worker 1,7,564,MP1 - Material preparation - automatic sawing (ZGN_01)_Location,16
Operator 1,4,564,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,564,UMC750_(M5-03)_Location,8
Operator 2,5,565,M4-01_(FR4_01)_Location,3
Manual worker 1,7,565,CentralBuffer_Location,0
Operator 1,4,566,OUT - Outsourced activity_(OUT - Outsourced)_Location,15
Manual worker 2,8,566,UMC750_(M5-03)_Location,8
Operator 2,5,566,CentralBuffer_Location,0
Manual worker 1,7,566,CentralBuffer_Location,0
Operator 1,4,567,CentralBuffer_Location,0
Manual worker 2,8,567,CentralBuffer_Location,0
Operator 2,5,567,CentralBuffer_Location,0
Manual worker 1,7,567,M3-01_(FR3_01)_Location,1
Operator 1,4,568,CentralBuffer_Location,0
Manual worker 2,8,568,CentralBuffer_Location,0
Operator 2,5,568,UMC750_(M5-03)_Location,8
Manual worker 1,7,569,M3-01_(FR3_01)_Location,1
Operator 1,4,569,UMC750_(M5-03)_Location,8
Manual worker 2,8,569,UMC750_(M5-03)_Location,8
Operator 2,5,570,UMC750_(M5-03)_Location,8
Manual worker 1,7,570,CentralBuffer_Location,0
Operator 1,4,571,UMC750_(M5-03)_Location,8
Manual worker 2,8,571,UMC750_(M5-03)_Location,8
Operator 2,5,571,CentralBuffer_Location,0
Manual worker 1,7,571,CentralBuffer_Location,0
Operator 1,4,572,CentralBuffer_Location,0
Manual worker 2,8,572,CentralBuffer_Location,0
Operator 2,5,572,CentralBuffer_Location,0
Manual worker 1,7,572,UMC750_(M5-03)_Location,8
Operator 1,4,573,CentralBuffer_Location,0
Manual worker 2,8,573,CentralBuffer_Location,0
Operator 2,5,573,UMC750_(M5-03)_Location,8
Manual worker 1,7,574,UMC750_(M5-03)_Location,8
Operator 1,4,574,UMC750_(M5-03)_Location,8
Manual worker 2,8,574,UMC750_(M5-03)_Location,8
Operator 2,5,575,UMC750_(M5-03)_Location,8
Manual worker 1,7,575,CentralBuffer_Location,0
Operator 1,4,576,UMC750_(M5-03)_Location,8
Manual worker 2,8,576,UMC750_(M5-03)_Location,8
Operator 2,5,576,CentralBuffer_Location,0
Manual worker 1,7,576,CentralBuffer_Location,0
Operator 1,4,577,CentralBuffer_Location,0
Manual worker 2,8,577,CentralBuffer_Location,0
Operator 2,5,577,CentralBuffer_Location,0
Manual worker 1,7,577,UMC750_(M5-03)_Location,8
Operator 1,4,578,CentralBuffer_Location,0
Manual worker 2,8,578,CentralBuffer_Location,0
Operator 2,5,578,UMC750_(M5-03)_Location,8
Manual worker 1,7,579,UMC750_(M5-03)_Location,8
Operator 1,4,579,M3-02_(FR3_02)_Location,2
Manual worker 2,8,579,UMC750_(M5-03)_Location,8
Operator 2,5,580,UMC750_(M5-03)_Location,8
Manual worker 1,7,580,CentralBuffer_Location,0
Operator 1,4,581,M3-02_(FR3_02)_Location,2
Manual worker 2,8,581,UMC750_(M5-03)_Location,8
Operator 2,5,581,CentralBuffer_Location,0
Manual worker 1,7,581,CentralBuffer_Location,0
Operator 1,4,582,CentralBuffer_Location,0
Manual worker 2,8,582,CentralBuffer_Location,0
Operator 2,5,582,CentralBuffer_Location,0
Manual worker 1,7,582,M3-02_(FR3_02)_Location,2
Operator 1,4,583,CentralBuffer_Location,0
