OperationID,Name,ProcessTime,Predecessor
235,Milling (FR4-01)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.05,Material prep (ZGN_02)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02
236,BW - Benchwork (BKW_01)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.08333333333333333,Milling (FR4-01)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02
237,Packaging (VERP_P)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-335-17991]  Filterh. Cu0.2 Ni0.02
238,Material prep (ZGN_01)_[4022-335-71012]  filter holder,0.016666666666666666,{}
239,Milling (FR4-01)_[4022-335-71012]  filter holder,0.1,Material prep (ZGN_01)_[4022-335-71012]  filter holder
240,Milling (FR3_01)_[4022-335-71012]  filter holder,0.03333333333333333,Milling (FR4-01)_[4022-335-71012]  filter holder
241,BW - Benchwork (BKW_01)_[4022-335-71012]  filter holder,0.03333333333333333,Milling (FR3_01)_[4022-335-71012]  filter holder
242,Packaging (VERP_P)_[4022-335-71012]  filter holder,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-335-71012]  filter holder
243,Material prep (ZGN_01)_[4022-337-30992]  HOLDER FOR SHUTTER,0.016666666666666666,{}
244,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER,0.05,Material prep (ZGN_01)_[4022-337-30992]  HOLDER FOR SHUTTER
245,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER_2,0.03333333333333333,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER
246,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER_3,0.03333333333333333,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER_2
247,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER_4,0.03333333333333333,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER_3
248,BW - Benchwork (BKW_01)_[4022-337-30992]  HOLDER FOR SHUTTER,0.03333333333333333,Milling (FR3_01)_[4022-337-30992]  HOLDER FOR SHUTTER_4
249,Packaging (VERP_P)_[4022-337-30992]  HOLDER FOR SHUTTER,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-337-30992]  HOLDER FOR SHUTTER
250,Material prep (ZGN_01)_[4022-337-33842]  arret holder,0.016666666666666666,{}
251,Milling (FR3_01)_[4022-337-33842]  arret holder,0.03333333333333333,Material prep (ZGN_01)_[4022-337-33842]  arret holder
252,Material prep (ZGN_01)_[4022-337-33842]  arret holder_2,0.016666666666666666,Milling (FR3_01)_[4022-337-33842]  arret holder
253,Milling (FR5_01)_[4022-337-33842]  arret holder,0.4166666666666667,Material prep (ZGN_01)_[4022-337-33842]  arret holder_2
254,Milling (FR3_01)_[4022-337-33842]  arret holder_2,0.13333333333333333,Milling (FR5_01)_[4022-337-33842]  arret holder
255,BW - Benchwork (BKW_01)_[4022-337-33842]  arret holder,0.05,Milling (FR3_01)_[4022-337-33842]  arret holder_2
256,Packaging (VERP_P)_[4022-337-33842]  arret holder,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-337-33842]  arret holder
257,Picking (UITG_M)_[4022-454-25012]  RING,0.0,{}
258,Milling (FR3_01)_[4022-454-25012]  RING,0.25,Picking (UITG_M)_[4022-454-25012]  RING
259,Milling (FR3_01)_[4022-454-25012]  RING_2,0.4166666666666667,Milling (FR3_01)_[4022-454-25012]  RING
260,BW - Benchwork (BKW_01)_[4022-454-25012]  RING,0.08333333333333333,Milling (FR3_01)_[4022-454-25012]  RING_2
261,Nickel plating_[4022-454-25012]  RING,75.0,BW - Benchwork (BKW_01)_[4022-454-25012]  RING
262,Packaging (VERP_P)_[4022-454-25012]  RING,0.016666666666666666,Nickel plating_[4022-454-25012]  RING
263,Material prep (ZGN_01)_[4022-455-01702]  Sensorblock,0.016666666666666666,{}
264,Milling (FR5_01)_[4022-455-01702]  Sensorblock,0.8333333333333334,Material prep (ZGN_01)_[4022-455-01702]  Sensorblock
265,Milling (FR4-01)_[4022-455-01702]  Sensorblock,0.16666666666666666,Milling (FR5_01)_[4022-455-01702]  Sensorblock
266,BW - Benchwork (BKW_01)_[4022-455-01702]  Sensorblock,0.05,Milling (FR4-01)_[4022-455-01702]  Sensorblock
267,Packaging (VERP_P)_[4022-455-01702]  Sensorblock,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-455-01702]  Sensorblock
268,Material prep (ZGN_01)_[4022-455-09992]  POST 2,0.016666666666666666,{}
269,Milling (FR4-01)_[4022-455-09992]  POST 2,0.06666666666666667,Material prep (ZGN_01)_[4022-455-09992]  POST 2
270,Milling (FR3_01)_[4022-455-09992]  POST 2,0.03333333333333333,Milling (FR4-01)_[4022-455-09992]  POST 2
271,BW - Benchwork (BKW_01)_[4022-455-09992]  POST 2,0.016666666666666666,Milling (FR3_01)_[4022-455-09992]  POST 2
272,Packaging (VERP_P)_[4022-455-09992]  POST 2,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-455-09992]  POST 2
273,Material prep (ZGN_01)_[4022-455-099943]  post 4,0.016666666666666666,{}
274,Milling (FR4-01)_[4022-455-099943]  post 4,0.06666666666666667,Material prep (ZGN_01)_[4022-455-099943]  post 4
275,Milling (FR4-01)_[4022-455-099943]  post 4_2,0.03333333333333333,Milling (FR4-01)_[4022-455-099943]  post 4
276,BW - Benchwork (BKW_01)_[4022-455-099943]  post 4,0.03333333333333333,Milling (FR4-01)_[4022-455-099943]  post 4_2
277,Packaging (VERP_P)_[4022-455-099943]  post 4,0.016666666666666666,BW - Benchwork (BKW_01)_[4022-455-099943]  post 4
278,Material prep (ZGN_01)_[4022-455-099953]  post 5,0.016666666666666666,{}
