ProductID,ProductNumber,Name,StockUnit,StockBatch,StockLevel,PrescribedBatchsize,ChosenBatchsize
270,4022-451-22761B,[4022-451-22761B]  RS Lock MF-X Spring Block,Pcs,1,0.0,,
271,5990-0000-0019,[5990-0000-0019]  Customer supplied material - RS Lock MF-X Spring Block,Pcs,1,0.0,,
272,BSIM-00000978 Rev. AC,[BSIM-00000978 Rev. AC]  BOTTOM PLATER RESERVOIR,Pcs,1,0.0,,
273,5990-0000-0020,[5990-0000-0020]  Customer supplied material - BOTTOM PLATER RESERVOIR,Pcs,1,0.0,,
274,1034719 C,[1034719 C]  KM Heatsink SR5 70X10X25 rev C,Pcs,1,0.0,,
275,5990-0000-0021,[5990-0000-0021]  Customer supplied material - KM Heatsink SR5 70X10X25 rev C,Pcs,1,0.0,,
276,7187549,[7187549]  4023 005 82993-A.step,,1,0.0,,
277,7188780,[7188780]  4023 005 84622-A.step,,1,0.0,,
278,7189853,[7189853]  4023 005 92341-A.step,,1,0.0,,
279,7190421,[7190421]  4023 005 94211-A.step,,1,0.0,,
280,7191167,[7191167]  4023 005 94911-B.step,,1,0.0,,
281,7192888,[7192888]  4023 006 01751-A.step,,1,0.0,,
282,4022-451-22801B,[4022-451-22801B]  RS Lock MF-X Preload Housing,mm,3000,0.0,,
283,5601-0000-0025,[5601-0000-0025]  ALU 6082 T651 (wgw) gzgd plaat 125x30,Pcs,1,1820.0,,
284,BD50-5085-013-C,[BD50-5085-013-C]  bracket,mm,3000,0.0,,50
285,4022-630-65212,[4022-630-65212]  Hinge Block Back,mm,3000,0.0,,
286,7044485,[7044485]  Plaat v4.step,,1,0.0,,
287,7045341,[7045341]  Opname draaischijf v13.step,,1,0.0,,
288,7046329,[7046329]  Steun zwenkcylinder v4.step,,1,0.0,,
289,7047537,[7047537]  Schuivervoet v2.step,,1,0.0,,
290,7048678,[7048678]  Schuiverhouder v4.step,,1,0.0,,
291,7049493,[7049493]  Draaischijf v10.step,,1,0.0,,
292,7050762,[7050762]  Flens draaischijf v5.step,,1,0.0,,
293,368556,[368556]  3428591-66666.step,,1,0.0,,
294,7038211,[7038211]  P02003.STEP,,1,0.0,,
295,7039225,[7039225]  P02004.STEP,,1,0.0,,
296,7055240,"[7055240]  P04200C Housing PRM5 13,5mm inner radius.STEP",,1,0.0,,
297,7056485,[7056485]  P04201.STEP,,1,0.0,,
298,7200886,[7200886]  Tab removal fixture V01.STEP,,1,0.0,,
299,7199773,[7199773]  Machining Clamp-v03.stp,,1,0.0,,
300,7067859,[7067859]  Verlenging vinger M4 v3.step,,1,0.0,,
301,7057581,[7057581]  Adapterplaat klokhouder v10.step,,1,0.0,,
302,7071795,[7071795]  Printbed.STEP,,1,0.0,,
303,7072642,[7072642]  P1501-M8001-00 - Draft - 2024-11-15.stp,,1,0.0,,
304,7214393,[7214393]  PRT-2080_dof_3_hip_r_REV.step,,1,0.0,,
305,7215594,[7215594]  PRT-2088_dof_3_hip_l_REV.step,,1,0.0,,
306,7075941,[7075941]  P1524-M1051-01.STEP,,1,0.0,,
307,7076611,[7076611]  P1524-M1055-04.STEP,,1,0.0,,
308,7207632,[7207632]  slider^sample_holder_october24_v1.sldprt,,1,0.0,,
309,7085715,[7085715]  V5185358_AA-Custom_foot_base.stp,,1,0.0,,
310,7221906,[7221906]  000793263.step,,1,0.0,,
311,7087454,[7087454]  RD032-M0014-00.STEP,,1,0.0,,
312,7077759,[7077759]  Cover mount.STEP,,1,0.0,,
313,7078399,[7078399]  Gantry.STEP,,1,0.0,,
314,7079807,[7079807]  motor to rails.STEP,,1,0.0,,
315,7080456,[7080456]  Probe_Mount.STEP,,1,0.0,,
316,7083905,[7083905]  Printbed.STEP,,1,0.0,,
317,7088857,[7088857]  P1517-M2110-00.stp,,1,0.0,,
318,7089998,[7089998]  P1517-M2210-00.stp,,1,0.0,,
319,7090555,[7090555]  P1517-M2310-00.stp,,1,0.0,,
320,7091508,[7091508]  P1517-M2410-00.stp,,1,0.0,,
321,7093677,[7093677]  P1517-M1012-00.stp,,1,0.0,,
322,7095500,[7095500]  P1517-M1022-00.stp,,1,0.0,,
323,7099380,[7099380]  P1517-M1054-00.stp,,1,0.0,,
324,7100719,[7100719]  P1517-M1055-00.stp,,1,0.0,,
325,7104151,[7104151]  P1517-M1161-00.stp,,1,0.0,,
326,7105575,[7105575]  P1517-M1162-00.stp,,1,0.0,,
327,7106120,[7106120]  P1517-M1355-00.stp,,1,0.0,,
328,7107628,[7107628]  P1517-M1361-00.stp,,1,0.0,,
329,7108158,[7108158]  P1517-M1362-00.stp,,1,0.0,,
330,7109179,[7109179]  P1517-M1461-00.stp,,1,0.0,,
331,7110338,[7110338]  P1517-M1462-00.stp,,1,0.0,,
332,Mal-130 wz 04,[Mal-130 wz 04]  Lagerhuis,mm,3000,0.0,,
333,staal S235JRC blank plat 50x25,staal S235JRC blank plat 50x25,Pcs,1,0.0,,
334,7131942,[7131942]  P1517-M1051-01.stp,,1,0.0,,
335,7118288,[7118288]  Shortside rib.STEP,,1,0.0,,
